№;Код;Вид деятельности;Направление;Описание;Дети и подростки;Люди с инвалидностью;Старшее поколение;Экология;Физическая нагрузка;Работа на улице;Эмоциональная нагрузка;Регулярность;Специальная подготовка;Организация и лидерство;Обучение и объяснение;Творчество и игры;Работа один на один
1;mentor;Наставник ребёнка из детского дома;Дети и подростки;Встречается с одним ребёнком каждую неделю: гуляет, помогает с учёбой, поддерживает. Перед стартом — школа наставников, обязательство — минимум на год.;3;0;0;0;0;1;3;3;2;0;2;1;3
2;tutor;Репетитор для детей из социальных учреждений;Дети и подростки;Помогает с уроками и готовит к экзаменам — очно или онлайн.;3;0;0;0;0;0;1;2;2;0;3;1;2
3;counselor;Вожатый в детском лагере;Дети и подростки;Ведёт отряд на лагерной смене: игры, походы, творческие дела. Перед сменой — школа вожатых.;3;0;0;0;2;3;1;1;2;3;1;3;0
4;hospital;Аниматор в детской больнице;Дети и подростки;Устраивает игры, мастер-классы и праздники для детей, которые долго лечатся.;3;1;0;0;0;0;3;2;1;2;0;3;1
5;career;Профориентатор для подростков;Дети и подростки;Рассказывает старшеклассникам о профессиях и помогает выбрать, куда поступать.;2;0;0;0;0;0;0;0;1;2;3;1;1
6;specialKids;Волонтёр центра для детей с особенностями развития;Дети и подростки;Играет и занимается с детьми с аутизмом, синдромом Дауна, ДЦП — вместе с педагогами центра.;3;3;0;0;1;1;2;2;2;0;2;2;2
7;escort;Сопровождающий человека на коляске;Люди с инвалидностью;Помогает добраться по городу и в транспорте, побывать на концертах и мероприятиях.;0;3;1;0;3;3;1;1;1;0;0;0;3
8;signLanguage;Помощник глухих людей;Люди с инвалидностью;Общается на русском жестовом языке, помогает на мероприятиях и в учреждениях.;0;3;0;0;0;0;1;2;3;0;1;0;2
9;audioDescription;Тифлокомментатор;Люди с инвалидностью;Описывает незрячим людям то, что происходит на спектакле, экскурсии или матче.;0;3;1;0;0;1;0;1;3;0;0;2;1
10;inclusiveSport;Волонтёр инклюзивных соревнований;Люди с инвалидностью;Помогает на забегах, турнирах и фестивалях, где выступают спортсмены с инвалидностью.;1;3;0;0;2;3;1;0;1;1;0;0;1
11;inclusiveArt;Помощник инклюзивной творческой мастерской;Люди с инвалидностью;Занимается музыкой, живописью и театром с людьми с ментальными особенностями.;0;3;0;0;0;0;2;2;1;1;1;3;1
12;accessibility;Исследователь доступной среды;Люди с инвалидностью;Проверяет пандусы, входы и навигацию и отмечает их на карте доступности города.;0;2;1;0;2;3;0;0;1;1;0;1;0
13;careHome;Волонтёр дома престарелых;Старшее поколение;Навещает подопечных: общается, гуляет, устраивает праздники и концерты.;0;1;3;0;1;1;3;2;1;1;0;2;2
14;digital;Учитель цифровой грамотности;Старшее поколение;Учит пожилых людей пользоваться смартфоном, мессенджерами и Госуслугами.;0;0;3;0;0;0;0;1;1;1;3;0;2
15;homeHelp;Помощник пожилых на дому;Старшее поколение;Приносит продукты и лекарства, помогает по хозяйству одиноким пожилым людям.;0;1;3;0;2;1;1;2;0;0;0;0;3
16;phoneFriend;Телефонный друг;Старшее поколение;Регулярно звонит одиноким пожилым людям, чтобы просто поговорить.;0;0;3;0;0;0;2;3;1;0;0;0;3
17;memories;Собиратель историй;Старшее поколение;Записывает воспоминания пожилых людей и помогает собрать семейный архив.;0;0;3;0;0;0;1;1;1;0;0;3;3
18;hospice;Волонтёр хосписа;Старшее поколение;Бывает рядом с тяжелобольными людьми: общается, помогает с уходом и досугом.;0;1;2;0;1;0;3;2;2;0;0;1;3
19;cleanup;Участник субботников и уборок;Экология;Убирает мусор в парках, лесах и на берегах рек.;0;0;0;3;3;3;0;0;0;0;0;0;0
20;greening;Озеленитель;Экология;Сажает деревья и разбивает клумбы во дворах вместе с жителями.;0;0;1;3;3;3;0;1;0;1;0;1;0
21;reserve;Волонтёр заповедника;Экология;Помогает сотрудникам заповедника или нацпарка: учёт птиц, обустройство экотроп.;0;0;0;3;3;3;0;1;2;0;0;0;0
22;recycling;Организатор раздельного сбора;Экология;Проводит акции по сбору вторсырья и объясняет жителям, как сортировать отходы.;0;0;0;3;1;2;0;2;1;3;2;1;0
23;ecoTeacher;Экопросветитель;Экология;Проводит экоуроки и квесты о природе для школьников.;2;0;0;3;0;1;0;1;1;2;3;3;0
24;ecoProject;Автор экопроекта;Экология;Придумывает и запускает свою экоинициативу — от скворечников во дворе до кампании в соцсетях.;0;0;0;3;1;1;0;2;1;3;1;3;0
