№;Блок;Код вопроса;Параметр;Вопрос;Можно выбрать;Ситуационная задача;Вариант;Текст варианта;Дети и подростки;Люди с инвалидностью;Старшее поколение;Экология;Физическая нагрузка;Работа на улице;Эмоциональная нагрузка;Регулярность;Специальная подготовка;Организация и лидерство;Обучение и объяснение;Творчество и игры;Работа один на один
1;1. Мотивы и стиль;general-free-day;Занятие в свободный день;Выдался свободный день, и ты хочешь провести его с пользой. Что выберешь?;один ответ;;a;Провести квест для ребят из социально-реабилитационного центра;3;0;0;0;0;0;0;0;0;1;0;1;0
1;1. Мотивы и стиль;general-free-day;Занятие в свободный день;Выдался свободный день, и ты хочешь провести его с пользой. Что выберешь?;один ответ;;b;Стать сопровождающим на инклюзивном фестивале;0;3;0;0;0;0;0;0;0;0;0;0;1
1;1. Мотивы и стиль;general-free-day;Занятие в свободный день;Выдался свободный день, и ты хочешь провести его с пользой. Что выберешь?;один ответ;;c;Провести день с пожилыми людьми: чай, разговоры, помощь со смартфоном;0;0;3;0;0;0;0;0;0;0;0;0;1
1;1. Мотивы и стиль;general-free-day;Занятие в свободный день;Выдался свободный день, и ты хочешь провести его с пользой. Что выберешь?;один ответ;;d;Выбраться на природу: убрать берег реки или посадить деревья;0;0;0;3;1;1;0;0;0;0;0;0;0
2;1. Мотивы и стиль;general-concerns;Проблемы, которые волнуют;Какие проблемы задевают тебя сильнее всего?;несколько ответов;;a;Дети из детских домов растут без взрослого, который в них верит;2;0;0;0;0;0;0;0;0;0;0;0;0
2;1. Мотивы и стиль;general-concerns;Проблемы, которые волнуют;Какие проблемы задевают тебя сильнее всего?;несколько ответов;;b;Людям на коляске или с нарушением зрения трудно выйти из дома и жить полноценно;0;2;0;0;0;0;0;0;0;0;0;0;0
2;1. Мотивы и стиль;general-concerns;Проблемы, которые волнуют;Какие проблемы задевают тебя сильнее всего?;несколько ответов;;c;Пожилые люди неделями ни с кем не разговаривают;0;0;2;0;0;0;0;0;0;0;0;0;0
2;1. Мотивы и стиль;general-concerns;Проблемы, которые волнуют;Какие проблемы задевают тебя сильнее всего?;несколько ответов;;d;Мусор в лесах, грязные реки и вырубка деревьев;0;0;0;2;0;0;0;0;0;0;0;0;0
3;1. Мотивы и стиль;general-setting;Комфортная обстановка;В какой обстановке тебе комфортнее всего помогать?;один ответ;;a;В шумной компании, где много игр, движения и эмоций;3;0;0;0;1;0;0;0;0;0;0;2;-1
3;1. Мотивы и стиль;general-setting;Комфортная обстановка;В какой обстановке тебе комфортнее всего помогать?;один ответ;;b;В спокойной беседе, где важно выслушать и поддержать;0;1;3;0;-1;0;0;0;0;0;0;0;2
3;1. Мотивы и стиль;general-setting;Комфортная обстановка;В какой обстановке тебе комфортнее всего помогать?;один ответ;;c;Рядом с человеком, которому нужна конкретная помощь: сопроводить, подсказать, подстроиться под его темп;0;3;1;0;0;0;0;0;0;0;0;0;3
3;1. Мотивы и стиль;general-setting;Комфортная обстановка;В какой обстановке тебе комфортнее всего помогать?;один ответ;;d;На свежем воздухе, где можно поработать руками и сразу увидеть результат;0;0;0;3;2;3;0;0;0;0;0;0;-1
